Fila,country,designation,points,price,province,region_1,variety,winery
9545,US,,84,22,New York,Cayuga Lake,Gewürztraminer,Treleaven
9546,Chile,3 Generaciones,84,7,Central Valley,,Cabernet Sauvignon,Soleca
9547,US,,84,20,California,California,Cabernet Sauvignon,Acronym
9548,France,Rosé Brut,84,20,Alsace,Crémant d'Alsace,Sparkling Blend,Domaine Allimant-Laugner
9549,France,Réserve,84,23,Alsace,Alsace,Pinot Gris,Gustave Lorentz
9550,Austria,Classic,84,18,Burgenland,,Blaufränkisch,Iby
9551,US,,84,30,California,Napa Valley,Chardonnay,Vinterra
9552,US,Red Dirt,84,20,California,Paso Robles,G-S-M,Vinum Cellars
9553,US,Capriccio Italian Reserve,84,39,California,Paso Robles,Red Blend,Midnight
9554,US,Private Selection,84,11,California,Central Coast,Chardonnay,Robert Mondavi
9555,US,Stolpman Vineyard,84,26,California,Santa Ynez Valley,Sangiovese,Santa Barbara Winery
9556,US,,84,45,California,Napa Valley,Sauvignon Blanc,Patland
9557,France,Cuvée Famille Willm,84,23,Alsace,Alsace,Pinot Gris,Willm
9558,France,Exception,84,28,Alsace,Alsace,Pinot Noir,Cave de Kientzheim-Kaysersberg
9559,France,Sushi Sélection,83,13,Alsace,Alsace,White Blend,Cave de Hunawihr
9560,US,,83,13,California,Napa Valley,Red Blend,Rhiannon
9561,France,Bargemone,83,19,Provence,Coteaux d'Aix-en-Provence,Red Blend,Commanderie de la Bargemone
9562,Italy,,83,13,Central Italy,Rosso Piceno Superiore,Red Blend,De Angelis
9563,Chile,Natura,83,11,Rapel Valley,,Cabernet Sauvignon,Emiliana
9564,US,,83,15,California,Santa Barbara County,Pinot Noir,10Span
9565,US,Rocky Top,83,17,California,Amador County,Zinfandel,Sobon Estate
9566,Chile,Envero Gran Reserva Estate Bottled,83,16,Colchagua Valley,,Carmenère,Apaltagua
9567,US,Beartown Block 28,83,24,New York,Finger Lakes,Riesling,Fulkerson
9568,France,,83,,Alsace,Alsace,Rosé,La Cave des Vignerons de Pfaffenheim
9569,Chile,Momentos Reserva,83,10,Cachapoal Valley,,Syrah,Château Los Boldos
9570,US,Signature Selection,83,20,California,Russian River Valley,Pinot Noir,Pedroncelli
9571,US,Rosé of Pinot Noir,86,15,Oregon,Willamette Valley,Rosé,Mahonia
9572,US,Independence Point,86,10,California,California,Cabernet Sauvignon,Montevina
9573,Germany,Undone,86,11,Rheinhessen,,Pinot Noir,P.J. Valckenberg
9574,Italy,Zeroincondotta,86,14,Piedmont,Barbera di Piemonte,Barbera,Paolo Marcarino
9575,Israel,Reserve,86,40,Judean Hills,,Cabernet Sauvignon,Titora
9576,Italy,,86,45,Piedmont,Barolo,Nebbiolo,460 Casina Bric
9577,Germany,Dom Dry,86,17,Mosel,,Riesling,Bischöfliche Weingüter Trier
9578,Portugal,Branco Barrica,86,28,Bairrada,,Bical,Campolargo
9579,Portugal,EA Tinto,86,9,Alentejano,,Portuguese Red,Cartuxa
9580,Portugal,Companhia das Lezírias Herdade de Catapereiro,86,12,Tejo,,Portuguese White,Wines & Winemakers
9581,Italy,Baby,86,,Piedmont,Barbera d'Asti,Barbera,Cantine Sant'Agata
9582,Italy,San Lorenzo,86,90,Piedmont,Barolo,Nebbiolo,Cavalier Bartolomeo
9583,Italy,Vigna da Capo,86,42,Piedmont,Barbera d'Asti Superiore Nizza,Barbera,Dacapo
9584,Portugal,Oceanus,86,10,Tejo,,Touriga Nacional-Cabernet Sauvignon,Fiuza
9585,France,Brut Rosé Premier Cru,86,55,Champagne,Champagne,Champagne Blend,Forget-Brimont
9586,US,Director's Cut,86,21,California,Russian River Valley,Chardonnay,Francis Ford Coppola
9587,US,Lot 5,86,13,California,California,Pinot Noir,Grayson Cellars
9588,Portugal,Colecção Privada Roxo,86,,Península de Setúbal,,Rosé,José Maria da Fonseca
9589,Argentina,Festivo,86,15,Other,La Rioja,Torrontés,Monteviejo
9590,Spain,,86,12,Northern Spain,Navarra,Chardonnay,Otazu
9591,Spain,,86,10,Northern Spain,Campo de Borja,Garnacha Blend,Penelope Sanchez
9592,Portugal,Unoaked Cuvée,86,20,Douro,,Portuguese Red,Quinta Nova de Nossa Senhora do Carmo
9593,Italy,Cornole,86,19,Piedmont,Dogliani,Dolcetto,Raineri Gianmatteo
9594,US,,86,38,California,Sonoma Coast,Chardonnay,Red Car
9595,Italy,Audace,86,,Piedmont,Barolo,Nebbiolo,Sarotto Roberto
9596,US,,86,15,California,Lodi,Red Blend,Tranzind
9597,France,,86,15,Burgundy,Mâcon-Villages,Chardonnay,Vignerons de Mancey
9598,US,V Series,86,13,California,Monterey,Pinot Noir,Vinum
9599,US,,86,13,California,California,Red Blend,Kitchen Sink
9600,US,,85,16,California,Lake County,Orange Muscat,Chacewater
9601,US,,91,18,Oregon,Oregon,Pinot Gris,Iris Vineyards
9602,France,Hatschbourg Grand Cru,91,35,Alsace,Alsace,Pinot Gris,Joseph Cattin
9603,France,Schlossberg Grand Cru,91,24,Alsace,Alsace,Riesling,Joseph Fritsch
9604,US,Ketcham Vineyard,91,42,California,Russian River Valley,Pinot Noir,K Squared Cellars
9605,US,Synergy,91,42,California,Sta. Rita Hills,Pinot Noir,Kessler-Haak
9606,France,Weid,91,27,Alsace,Alsace,Pinot Noir,Lucien Albrecht
9607,Italy,Mulinvecchio,91,49,Tuscany,Vino Nobile di Montepulciano,Red Blend,Contucci
9608,Australia,The Derelict Vineyard,91,29,South Australia,McLaren Vale,Grenache,D'Arenberg
9609,France,Frankstein Grand Cru,91,25,Alsace,Alsace,Pinot Gris,Domaine Mersiol
9610,US,,91,30,California,Sta. Rita Hills,Pinot Noir,Gainey
9611,France,,91,,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château de Malleret
9612,France,,91,27,Bordeaux,Médoc,Bordeaux-style Red Blend,Château d'Escurac
9613,France,,91,39,Bordeaux,Pessac-Léognan,Bordeaux-style Red Blend,Château la Garde
9614,France,,91,65,Bordeaux,Saint-Émilion,Bordeaux-style Red Blend,Château Laforge
9615,France,Les Hauts de Larrivet Haut-Brion,91,30,Bordeaux,Pessac-Léognan,Bordeaux-style Red Blend,Château Larrivet Haut-Brion
9616,Australia,,91,20,Western Australia,Margaret River,Sauvignon Blanc-Semillon,Cape Mentelle
9617,US,Sonoma Coast Cuvée,91,28,California,Sonoma Coast,Syrah,Baker Lane
9618,Australia,,91,,South Australia,Coonawarra,Cabernet Sauvignon,Balnaves of Coonawarra
9619,US,,91,24,California,Sonoma Coast,Pinot Noir,Bench
9620,US,Made With Organic Grapes,91,16,California,Mendocino County,Zinfandel,Bonterra
9621,France,Zinnkoepfle Grand Cru,91,32,Alsace,Alsace,Riesling,Antoine Moltès & Fils
9622,US,Creekside Estate,91,32,California,San Luis Obispo County,Pinot Noir,Stolo
9623,US,Boontling,91,39,California,Anderson Valley,Pinot Noir,Phillips Hill
9624,US,,91,16,Oregon,Umpqua Valley,Riesling,Melrose
9625,US,,91,42,Oregon,Chehalem Mountains,Pinot Noir,Owen Roe
9626,US,,91,22,Oregon,Dundee Hills,Pinot Gris,Sokol Blosser
9627,US,,91,85,California,Oakville,Cabernet Sauvignon,Vine Cliff
9628,US,Bernau Block,91,65,Oregon,Willamette Valley,Pinot Noir,Willamette Valley Vineyards
9629,Australia,Paradox,91,45,South Australia,Barossa,Shiraz,Yalumba
9630,Australia,Warramunda Reprise,91,28,Victoria,Yarra Valley,Marsanne,Ben Haines
9631,US,,88,20,California,Paso Robles,Grenache,Grey Wolf Cellars
9632,US,High Valley,88,20,California,Lake County,Rosé,High Valley
9633,US,Avant,88,17,California,California,Chardonnay,Kendall-Jackson
9634,US,Vin Gris of,88,19,California,Central Coast,Pinot Noir,Calera
9635,Italy,,88,25,Northeastern Italy,Collio,Friulano,Castello di Spessa
9636,US,Musque Clone Lafond Vineyard,88,34,California,Sta. Rita Hills,Chardonnay,Lafond
9637,US,,88,14,New York,Finger Lakes,Chardonnay,Lakewood
9638,US,Semi-Dry,88,15,New York,Finger Lakes,Riesling,Lamoreaux Landing
9639,Austria,Reserve,88,37,Kamptal,,Grüner Veltliner,Leindl
9640,France,Château de Libran,88,17,Provence,Coteaux d'Aix-en-Provence,Rosé,Les Vins Bréban
9641,France,Mado en Provence,88,19,Provence,Côtes de Provence,Rosé,Les Vins Bréban
9642,US,Winter's Hill Vineyard,88,40,Oregon,Dundee Hills,Pinot Noir,Lundeen
9643,Austria,Hugo,88,13,Niederösterreich,,Grüner Veltliner,Markus Huber
9644,US,,88,19,Washington,Horse Heaven Hills,Merlot,Mercer
9645,US,,88,28,California,Napa Valley,Sauvignon Blanc,Merryvale
9646,US,,88,26,California,Dry Creek Valley,Petite Sirah,Miro
9647,US,Cotes du Crow's,88,18,California,Monterey County,Rhône-style Red Blend,Morgan
9648,Spain,,88,22,Galicia,Rías Baixas,Albariño,Paco & Lola
9649,US,Dry Rosé of,88,15,California,Dry Creek Valley,Zinfandel,Pedroncelli
9650,Spain,Amontillado,88,13,Andalucia,Jerez,Palomino,Pemartín
9651,US,Circle,88,15,New York,Finger Lakes,Riesling,Red Newt Cellars
9652,Spain,,88,25,Galicia,Rías Baixas,Albariño,Rosa Nautica
9653,US,Santa Catalina Island Vineyards,88,72,California,California,Zinfandel,Rusack
9654,Italy,,88,15,Veneto,Soave Classico,Garganega,Suavia
9655,US,,88,48,California,Sta. Rita Hills,Pinot Noir,Testarossa
9656,Spain,Celeste Crianza,88,21,Northern Spain,Ribera del Duero,Tempranillo,Torres
9657,US,Justi Creek Vineyard,88,40,California,Sonoma Valley,Grenache,Dane Cellars
9658,US,Eclipse,88,16,New York,New York,White Blend,Heron Hill
9659,Argentina,Unánime,88,25,Mendoza Province,Mendoza,Chardonnay,Mascota
9660,US,Road Block Reserve,88,25,New York,Finger Lakes,Riesling,Shaw
9661,Chile,,83,14,Rapel Valley,,Cabernet Sauvignon,Grÿphus
9662,US,Hybrid,83,10,California,Lodi,Sauvignon Blanc,Peltier
9663,US,,83,8,California,California,Chardonnay,Buffalo Grove
9664,US,,83,9,California,California,Sauvignon Blanc,Buffalo Grove
9665,Portugal,,83,8,Vinho Verde,,Rosé,Mapreco
9666,US,Cold Creek Vineyard,83,20,California,Carneros,Chardonnay,Cambridge California
9667,US,Limited,83,18,California,Monterey,Chardonnay,Cambridge California
9668,Spain,,83,13,Northern Spain,Rueda,Verdejo,Casa de la Vega
9669,US,,83,26,California,Alexander Valley,Merlot,Sebastiani
9670,Chile,Reserve,83,12,Maipo Valley,,Pinot Noir,Tres Palacios
9671,Chile,Select Terroir,82,10,Cachapoal Valley,,Carmenère,Santa Ema
9672,US,,82,13,California,Central Coast,Sauvignon Blanc,Scratchpad
9673,Spain,Puerta Vieja Blanco,82,9,Northern Spain,Rioja,Viura,Bodegas Riojanas
9674,Chile,,82,9,Central Valley,,Sauvignon Blanc,Alto Los Romeros
9675,Spain,Crianza,82,16,Northern Spain,Rioja,Tempranillo Blend,Dominio del Viento
9676,Spain,,82,20,Catalonia,Costers del Segre,Riesling,Cristiari
9677,Spain,Hermanos Lurton,82,18,Northern Spain,Rueda,Verdejo,François Lurton
9678,Spain,Garnatxa Blanca,82,17,Catalonia,Montsant,Garnacha Blanca,Zerran
9679,Chile,Classic Series,82,13,Colchagua Valley,,Cabernet Sauvignon,Montes
9680,Chile,Estate,82,16,Colchagua Valley,,Viognier-Chardonnay,Estampa
9681,Spain,,82,10,Central Spain,Vino de la Tierra de Castilla,Sauvignon Blanc,Trencalòs
9682,Chile,Grand Reserve,82,15,Maule Valley,,Chardonnay,Santa Alba
9683,US,Brut,82,25,Oregon,Willamette Valley,Sparkling Blend,Gresser
9684,Spain,Menguante,82,14,Northern Spain,Cariñena,Garnacha,Viñedos y Bodegas Pablo
9685,US,,82,7,California,California,Pinot Noir,Camelot
9686,US,,82,11,California,California,Pinot Grigio,Insomnia
9687,US,Under the Sea,82,22,California,Lodi,Primitivo,Ripken
9688,Spain,OVG,82,12,Northern Spain,Cariñena,Garnacha,Terrai
9689,Chile,Coastal Cool Climate Estate Bottled Cabernet Franc,82,17,Casablanca Valley,,Rosé,Lomas del Valle
9690,US,,82,30,California,Santa Barbara County,Pinot Noir,Consilience
9691,France,César,92,27,Rhône Valley,Côtes du Rhône,Rhône-style White Blend,Domaine Roche-Audran
9692,France,Premier Cru,92,80,Burgundy,Pommard,Pinot Noir,Bouchard Père & Fils
9693,France,Perrières Premier Cru,92,,Burgundy,Meursault,Chardonnay,Chanson Père et Fils
9694,France,Vieilles Vignes,92,74,Burgundy,Pouilly-Fuissé,Chardonnay,Château de Fuissé
9695,US,Estate Bottled DuBrul Vineyard,92,120,Washington,Yakima Valley,Bordeaux-style Red Blend,Côte Bonneville
9696,US,Klipsun Vineyard,92,19,Washington,Red Mountain,Sauvignon Blanc,Barrister
9697,Italy,Rovittello,92,50,Sicily & Sardinia,Etna,Red Blend,Benanti
9698,US,,92,24,California,Edna Valley,Chardonnay,Stephen Ross
9699,US,Bien Nacido Vineyard,92,45,California,Santa Maria Valley,Chardonnay,Testarossa
9700,US,Rosella's Vineyard,92,45,California,Santa Lucia Highlands,Chardonnay,Testarossa
9701,US,Tondré Reserve,92,75,California,Santa Lucia Highlands,Pinot Noir,Tudor Wines
9702,Spain,Carodorum Issos,92,20,Northern Spain,Toro,Tinta de Toro,Bodega Carmen Rodríguez
9703,Italy,Aspide,92,29,Sicily & Sardinia,Etna,Nerello Mascalese,Destro
9704,US,Seven Twenty Eight Fiddlestix Vineyard,92,42,California,Sta. Rita Hills,Pinot Noir,Fiddlehead
9705,US,Ferguson Vineyard Estate Grown Cabernet Sauvignon-Merlot-Cabernet Franc,92,60,Washington,Walla Walla Valley (WA),Bordeaux-style Red Blend,L'Ecole No. 41
9706,Spain,Pagos Viejos,92,100,Northern Spain,Rioja,Tempranillo Blend,Artadi
9707,US,Wild Thing Old Vine,92,19,California,Mendocino,Zinfandel,Carol Shelton
9708,France,Clos Rousseau Premier Cru,92,44,Burgundy,Santenay,Pinot Noir,David Moreau
9709,France,Aux Vergelesses Premier Cru,92,44,Burgundy,Savigny-lès-Beaune,Chardonnay,Domaine Dublère
9710,France,Jeunes Rois,92,,Burgundy,Gevrey-Chambertin,Pinot Noir,Domaine René Bouvier
9711,US,Estate,92,26,California,Santa Maria Valley,Chardonnay,Riverbench
9712,US,,92,26,California,Santa Barbara County,Riesling,Solminer
9713,Italy,Rosso del Conte,92,70,Sicily & Sardinia,Contea di Sclafani,Red Blend,Tasca d'Almerita
9714,US,,92,40,Washington,Columbia Valley (WA),Cabernet Sauvignon,Va Piano
9715,US,Estate Vineyard,92,60,Washington,Walla Walla Valley (WA),Syrah,Va Piano
9716,Spain,Idus,92,50,Catalonia,Priorat,Red Blend,Vall Llach
9717,Italy,,92,28,Sicily & Sardinia,Cerasuolo di Vittoria Classico,Red Blend,Valle dell'Acate
9718,US,Old Vine,92,15,California,Lodi,Zinfandel,Za Zin
9719,US,Carnal,92,40,California,Paso Robles,G-S-M,Oso Libre
9720,France,Clos de Cromin,92,56,Burgundy,Meursault,Chardonnay,Alex Gambal
9721,France,Tradition,85,20,Loire Valley,Sancerre,Sauvignon Blanc,Domaine de la Villaudière
9722,France,,85,20,Loire Valley,Sancerre,Sauvignon Blanc,Domaine Pierre Duret
9723,US,Estate Grown,85,65,California,Napa Valley,Cabernet Sauvignon,Grgich Hills
9724,US,Watchtower Vineyard Estate,85,38,California,Dry Creek Valley,Cabernet Sauvignon,Gustafson Family
9725,Spain,Edición Rosa,85,12,Northern Spain,Navarra,Rosé,Príncipe de Viana
9726,US,Reserve,85,14,California,California,Pinot Noir,Red Rock
9727,France,Sous la Roche,85,29,Burgundy,Pouilly-Fuissé,Chardonnay,Henry Fessy
9728,France,Les Milets,85,20,Loire Valley,Reuilly,Rosé,Joseph Mellot
9729,US,Estate Grown,85,14,Idaho,Idaho,Riesling,Sawtooth
9730,US,,85,12,Washington,Columbia Valley (WA),Pinot Gris,Skyfall
9731,Canada,,85,22,British Columbia,Okanagan Valley,Pinot Noir,Tinhorn Creek
9732,Spain,Hoya de Cadenas 130 Anniversary,85,15,Levante,Valencia,White Blend,Vicente Gandia
9733,Italy,Casalino,85,40,Tuscany,Brunello di Montalcino,Sangiovese,Bonacchi
9734,France,Les Genêts Gris,85,18,Loire Valley,Coteaux du Giennois,Sauvignon Blanc,Domaine de Villargeau
9735,France,Les Pierris,85,20,Loire Valley,Sancerre,Rosé,Domaine Roger Champault
9736,France,La Vallée des Vignes,85,20,Loire Valley,Sancerre,Pinot Noir,Eric Cottat
9737,France,Brut Blanc de Blancs,85,,France Other,Vin Mousseux,Sparkling Blend,François Montand
9738,US,,85,15,New York,Finger Lakes,Pinot Blanc,Glenora
9739,Spain,Pieza el Coll,84,18,Northern Spain,Calatayud,Red Blend,Bodegas Langa
9740,Spain,Roble,84,23,Northern Spain,Ribera del Duero,Tempranillo Blend,Convento Oreja
9741,Spain,Crianza,84,15,Northern Spain,Rioja,Tempranillo,El Coto
9742,US,,84,54,California,Napa Valley,Cabernet Sauvignon,Foundry
9743,France,,84,16,Burgundy,Bourgogne,Pinot Noir,Louis Chevallier
9744,France,,84,25,Loire Valley,Sancerre,Sauvignon Blanc,Régis Jouan
9745,France,Petit Villebois,84,15,France Other,Vin de France,Sauvignon Blanc,Villebois
9746,Spain,Winemaker's Selection,84,6,Levante,Valencia,Rosé,Castillo de Liria
9747,France,,84,22,Loire Valley,Sancerre,Rosé,Domaine Alban Roblin
9748,France,,84,25,Loire Valley,Reuilly,Rosé,Jean-Michel Sorbe
9749,US,,84,18,California,Napa Valley,Sauvignon Blanc,Markham
9750,France,Rosé Brut,84,13,France Other,Vin Mousseux,Sparkling Blend,Marquis de la Tour
9751,Italy,Piediprato,86,,Central Italy,Rosso Piceno,Red Blend,Saladini Pilastri
9752,France,,86,14,Bordeaux,Côtes de Bourg,Bordeaux-style Red Blend,Château Laroche Joubert
9753,France,,86,23,Provence,Côtes de Provence,Rhône-style White Blend,Château Roubine
9754,France,Vieilles VIgnes,86,,Bordeaux,Bordeaux,Bordeaux-style Red Blend,Château Saintongey
9755,Italy,,86,15,Central Italy,Colli Bolognesi,Cabernet Sauvignon,Bonfiglio
9756,US,Ma Vie Carol,86,48,California,Pine Mountain-Cloverdale Peak,Chardonnay,Capture
9757,France,,86,60,Bordeaux,Graves,Bordeaux-style Red Blend,Château du Grand Bos
9758,US,Lucca,86,10,California,North Coast,Red Blend,Courtney Benham
9759,Italy,Casale Vecchio,86,20,Central Italy,Terre di Chieti,Cococciola,Farnese
9760,Italy,Predappio di Predappio Vigna del Generale Riserva Nicolucci,86,28,Central Italy,Sangiovese di Romagna,Sangiovese,Fattoria Casetto dei Mandorli
9761,Italy,Déjà V,86,15,Central Italy,Offida Passerina,Passerina,Domodimonti
9762,US,Phinny Hill Vineyard,86,28,Washington,Washington,Carmenère,Clearwater Canyon
9763,US,Estate,86,18,California,Paso Robles,Zinfandel,EOS
9764,France,Terres de Saint-Louis,86,11,Provence,Coteaux Varois en Provence,Rosé,Estandon
9765,US,Cuvée de Paso,86,25,California,Paso Robles,Rhône-style Red Blend,Minassian-Young
9766,US,,86,11,California,California,Cabernet Sauvignon,Greystone
9767,Austria,,86,20,Thermenregion,,Pinot Noir,Johanneshof Reinisch
9768,Chile,,86,13,Limarí Valley,,Sauvignon Blanc,Peñalolen
9769,US,Sonoma Stage VIneyard,86,45,California,Sonoma Coast,Pinot Noir,Peters Family
9770,Italy,,86,22,Central Italy,Lazio,Syrah,Principe Pallavicini
9771,Italy,È 100 Per Cento,86,11,Central Italy,Montepulciano d'Abruzzo,Montepulciano,Orion Wine
9772,Spain,Blanc de Pacs Organic Farming Parellada-Xarel-lo-Macabeu,86,14,Catalonia,Penedès,White Blend,Parés Baltà
9773,US,ReZerve,86,11,California,Amador County,Rosé,Sobon Estate
9774,Italy,Montetinello,86,,Central Italy,Rosso Piceno,Red Blend,Saladini Pilastri
9775,Italy,,86,,Central Italy,Montepulciano d'Abruzzo,Montepulciano,San Lorenzo
9776,US,Nysa Vineyard,86,55,Oregon,Dundee Hills,Pinot Noir,Torii Mor
9777,US,Gracie Creek Vineyards,86,32,California,Sonoma Valley,Syrah,Muscardini
9778,US,Elton,86,45,Oregon,Eola-Amity Hills,Pinot Noir,Willamette Valley Vineyards
9779,US,Tess Red and White Blend,86,20,California,Napa Valley,Red Blend,Tess
9780,US,,86,13,Washington,Columbia Valley (WA),Red Blend,The Ghost in the Machine
9781,US,,83,20,California,Russian River Valley,Chardonnay,Taft Street
9782,Argentina,Padrillos,83,12,Mendoza Province,Mendoza,Malbec,Siesta Wines
9783,US,Diavolo,83,36,New Mexico,New Mexico,Red Blend,Vivác Winery
9784,US,,83,11,California,Monterey County,Pinot Grigio,Castle Rock
9785,US,Brunette,83,20,California,California,Bordeaux-style Red Blend,Back Seat
9786,Spain,,83,10,Northern Spain,Rioja,Viura,Monte Clavijo
9787,US,,83,30,California,Santa Ynez Valley,Cabernet Franc,Brander
9788,Spain,Gran Bach,83,11,Catalonia,Cava,Sparkling Blend,Codorníu
9789,Argentina,Brut Methode Traditionnelle,83,20,Mendoza Province,Tupungato,Champagne Blend,Domaine Jean Bousquet
9790,Argentina,,83,9,Mendoza Province,Tupungato,Chardonnay,Acordeón
9791,US,,83,11,California,Paso Robles,Cabernet Sauvignon,Castle Rock
9792,France,Blanc Sec,83,12,Southwest France,Côtes de Gascogne,White Blend,Domaine de Maubet
9793,US,,83,15,California,California,Riesling,Bread & Butter
9794,US,,83,17,Virginia,Virginia,Pinot Gris,Hamlet
9795,US,Black Label Club Nina Blanco,83,18,Virginia,Virginia,White Blend,Bogati
9796,Italy,075 Carati,83,15,Veneto,Prosecco,Glera,Piera Martellozzo
9797,Spain,Finca del Castillo Joven,83,9,Central Spain,La Mancha,Tempranillo,Vinícola de Castilla
9798,US,,83,9,California,California,Merlot,Alias
9799,US,,82,15,California,Fiddletown,Zinfandel,Damas
9800,Argentina,,82,9,Other,Cafayate,Torrontés,Acordeón
9801,Argentina,,82,8,Mendoza Province,Mendoza,Cabernet Sauvignon,Casa de Campo
9802,US,Collector's Series,82,25,Missouri,Missouri,Chambourcin,Les Bourgeois
9803,US,Sleepy Hollow Vineyard,82,42,California,Santa Lucia Highlands,Pinot Noir,Talbott
9804,US,,82,10,California,Central Coast,Chardonnay,Castle Rock
9805,US,,82,34,California,Central Coast,Garnacha,Bodega de Edgar
9806,US,Mischief,82,10,California,California,Red Blend,Lost Angel
9807,US,,82,12,California,California,Sauvignon Blanc,Mirassou
9808,Argentina,,82,12,Mendoza Province,Mendoza,Malbec,Rio Perdido
9809,US,,82,14,California,Paso Robles,Sauvignon Blanc,Ancient Peaks
9810,Spain,Conde de Valdemar,82,10,Northern Spain,Rioja,Rosado,Bodegas Valdemar
9811,Chile,Albamar Estate Bottled,83,13,Casablanca Valley,,Pinot Noir,William Cole
9812,Chile,La Joya Gran Reserva,83,15,Colchagua Valley,,Carmenère,Viña Bisquertt
9813,Chile,Grand Reserve,83,13,Rapel Valley,,Cabernet Sauvignon,Château Los Boldos
9814,Chile,,83,35,Leyda Valley,,Syrah,Amayna
9815,US,Estate,83,32,California,Arroyo Seco,Pinot Noir,Scott Family
9816,Chile,Antiguas Reservas,83,16,Maipo Valley,,Chardonnay,Cousiño-Macul
9817,Austria,Rubin Carnuntum,83,24,Carnuntum,,Zweigelt,Netzl
9818,US,Tess,83,20,California,Napa Valley,Red Blend,Peju
9819,Austria,Vom Donaulöss,83,,Niederösterreich,,Zweigelt,Fritsch
9820,US,,83,12,New York,Finger Lakes,Chardonnay,Nearly Naked
9821,US,Essential,83,11,California,California,Red Blend,Bogle
9822,Chile,Select Terroir,83,10,Cachapoal Valley,,Merlot,Santa Ema
9823,Chile,Crucero Reserva,83,13,Colchagua Valley,,Chardonnay,Siegel
9824,US,,83,10,California,California,Syrah,McManis
9825,Chile,Reserva Sauvignon Blanc-Carmenère,83,12,Maule Valley,,White Blend,Oveja Negra
9826,Austria,Red Soil,83,15,Wagram-Donauland,,Zweigelt,Fritsch
9827,US,Estate,83,39,California,Napa Valley,Cabernet Franc,Hagafen
9828,Austria,,83,24,Burgenland,,Blaufränkisch,Höpler
9829,US,,83,12,Washington,Washington,Pinot Gris,B. Lovely
9830,Chile,Reserva Espiritu de los Andes,83,10,Bío Bío Valley,,Pinot Noir,Santa Alicia
9831,Austria,,83,23,Burgenland,,Zweigelt,Preisinger
9832,US,,83,25,California,Carneros,Pinot Noir,Educated Guess
9833,Italy,,83,25,Central Italy,Rosso Piceno Superiore,Red Blend,Clara Marcelli
9834,France,Bonheur Festif Brut,82,16,Alsace,Crémant d'Alsace,Sparkling Blend,Rieflé
9835,US,,82,20,California,California,Chardonnay,Acronym
9836,US,Reserve,82,18,California,Russian River Valley,Pinot Noir,Castle Rock
9837,US,Valley Cuvée,82,28,California,California,Red Blend,Kobler
9838,US,Garey Vineyard Signature Selection,82,22,California,Santa Maria Valley,Pinot Noir,Bianchi
9839,Austria,,82,,Burgenland,,Zweigelt,Zantho
9840,France,,82,20,Alsace,Alsace,Riesling,Wunsch & Mann
9841,France,,88,19,Bordeaux,Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château Moulin de Clotte
9842,France,,88,21,Bordeaux,Bordeaux,Bordeaux-style Red Blend,Château de Sours
9843,Italy,,88,14,Sicily & Sardinia,Sicilia,Nero d'Avola,D'Alessandro
9844,Italy,Valentino,88,21,Sicily & Sardinia,Sicilia,Merlot,Feudi del Pisciotto
9845,Italy,Sessantanni Old Vines,88,42,Southern Italy,Primitivo di Manduria,Primitivo,Feudi di San Marzano
9846,Italy,Sud,88,15,Southern Italy,Salice Salentino,Red Blend,Feudi di San Marzano
9847,US,,88,18,California,Mendocino County,Barbera,Enotria
9848,US,Prince Hill Pommard,88,50,Oregon,Dundee Hills,Pinot Noir,Erath
9849,Italy,Kados Risignolo,88,,Sicily & Sardinia,Sicilia,Grillo,Duca di Salaparuta
9850,France,La Carrière,88,28,Beaujolais,Chénas,Gamay,Domaine Chasselay
9851,US,,88,35,California,Carneros,Pinot Noir,Bouchaine
9852,Italy,Adènzia,88,23,Sicily & Sardinia,Sicilia,White Blend,Baglio del Cristo di Campobello
9853,France,Château Tournelles,88,19,Southwest France,Buzet,Bordeaux-style Red Blend,Georges Vigouroux
9854,Italy,Serum,88,18,Southern Italy,Greco di Tufo,Greco,I Capitani
9855,France,Clos Triguedina Le Sec du Clos,88,25,Southwest France,Comté Toulosan,Chardonnay-Viognier,Jean-Luc Baldès
9856,France,Domaine de la Calèche,88,16,Beaujolais,Fleurie,Gamay,Vignerons de Bel Air
9857,Italy,Nadir,88,17,Sicily & Sardinia,Sicilia,Syrah,Tenuta Rapitalà
9858,Italy,Nuhar,88,17,Sicily & Sardinia,Sicilia,Red Blend,Tenuta Rapitalà
9859,US,Natasha,88,40,Oregon,Willamette Valley,Pinot Noir,Youngberg Hill Vineyards
9860,Italy,Duca San Felice Rosso Classico Superiore Riserva,88,20,Southern Italy,Cirò,Gaglioppo,Librandi
9861,France,,88,19,Southwest France,Gaillac,Red Blend,Lionel Osmin & Cie
9862,US,,88,20,Oregon,Willamette Valley,Pinot Noir,Illahe
9863,US,,88,20,Oregon,Oregon,Pinot Noir,J. Scott Cellars
9864,Chile,Viña Punto Alto,88,20,Casablanca Valley,,Pinot Noir,Laroche
9865,Austria,Kamptaler Terrassen,88,23,Kamptal,,Grüner Veltliner,Bründlmayer
9866,Italy,Sedàra,88,15,Sicily & Sardinia,Sicilia,Red Blend,Donnafugata
9867,Chile,Family Reserva,88,18,Curicó Valley,,Cabernet Sauvignon,Echeverria
